Index,Biomass species,M,Ash,VM,FC,C,H,O,N,PS,FT,HR,FR,Solid phase,Liquid phase,Gas phase
671,Beech,8.7,0.8,84.3,15.2,49.1,5.7,44.5,0.15,0.38,450,10.0,50.0,40.6,47.5,6.1
672,Beech,8.7,0.8,84.3,15.2,49.1,5.7,44.5,0.15,0.38,500,10.0,50.0,13.6,62.4,15.0
673,Beech,8.7,0.8,84.3,15.2,49.1,5.7,44.5,0.15,0.38,550,10.0,50.0,10.3,48.4,25.6
674,Beech,8.7,0.8,84.3,15.2,49.1,5.7,44.5,0.15,0.38,600,10.0,50.0,8.2,40.1,51.5
675,White oak and sweetgum logs,6.84,0.48,76.15,16.3,49.7,6.5,36.84,0.1,4.0,450,4.0,,16.7,58.9,41.1
676,White oak and sweetgum logs,11.31,0.71,75.79,12.42,47.88,5.57,34.65,0.08,4.0,450,,,18.3,56.2,43.8
677,"RS,RH",4.1,9.8,74.3,16.0,54.3,5.7,38.4,1.6,0.34,375,10.0,7000.0,38.42,52.38,8.94
678,"RS,RH",4.1,9.8,74.3,16.0,54.3,5.7,38.4,1.6,0.34,400,10.0,7000.0,37.36,54.09,8.05
679,"RS,RH",4.1,9.8,74.3,16.0,54.3,5.7,38.4,1.6,0.34,425,10.0,7000.0,33.89,55.62,10.27
680,"RS,RH",4.1,9.8,74.3,16.0,54.3,5.7,38.4,1.6,0.34,450,10.0,7000.0,31.11,57.31,11.11
681,"RS,RH",4.1,9.8,74.3,16.0,54.3,5.7,38.4,1.6,0.34,500,10.0,7000.0,28.13,55.2,16.41
682,"RS,RH",1.3,13.9,69.3,16.8,50.4,6.0,42.6,0.9,0.34,375,10.0,7000.0,34.11,52.21,13.42
683,"RS,RH",1.3,13.9,69.3,16.8,50.4,6.0,42.6,0.9,0.34,400,10.0,7000.0,30.46,54.6,15.29
684,"RS,RH",1.3,13.9,69.3,16.8,50.4,6.0,42.6,0.9,0.34,425,10.0,7000.0,27.17,50.79,21.48
685,"RS,RH",1.3,13.9,69.3,16.8,50.4,6.0,42.6,0.9,0.34,450,10.0,7000.0,26.8,49.56,24.22
686,"RS,RH",1.3,13.9,69.3,16.8,50.4,6.0,42.6,0.9,0.34,500,10.0,7000.0,24.34,47.44,27.96
687,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,425,30.0,8000.0,38.6,45.0,16.4
688,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,8000.0,35.1,48.0,16.9
689,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,475,30.0,8000.0,33.2,46.6,20.2
690,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,500,30.0,8000.0,30.0,44.0,26.0
691,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.34,450,30.0,8000.0,34.6,44.3,21.1
692,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,8000.0,35.1,48.0,16.9
693,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,8000.0,38.4,46.2,15.4
694,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,6000.0,32.7,44.8,22.5
695,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,8000.0,35.1,48.0,16.9
696,Jatropha curcas de oilseed cake,5.0,5.0,69.0,21.0,42.3,4.8,46.74,5.8,0.75,450,30.0,10000.0,32.0,41.5,26.5
697,Tomato peel,4.67,4.87,78.12,12.34,55.0,7.9,34.0,2.8,,450,20.0,,44.0,14.0,42.0
698,Tomato peel,4.67,4.87,78.12,12.34,55.0,7.9,34.0,2.8,,500,20.0,,39.0,17.5,43.5
699,Tomato peel,4.67,4.87,78.12,12.34,55.0,7.9,34.0,2.8,,550,20.0,,26.4,32.0,33.6
700,Tomato peel,4.67,4.87,78.12,12.34,55.0,7.9,34.0,2.8,,600,20.0,,27.85,40.0,32.15
701,Tomato peel,4.67,4.87,78.12,12.34,55.0,7.9,34.0,2.8,,650,20.0,,26.0,36.0,38.0
702,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,300,15.0,200.0,41.98,34.42,22.42
703,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,400,15.0,200.0,36.05,37.85,25.73
704,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,500,15.0,200.0,31.68,41.88,26.28
705,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,600,15.0,200.0,30.55,40.03,30.19
706,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.33,500,15.0,200.0,28.84,42.59,26.45
707,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.51,500,15.0,200.0,30.4,43.78,26.1
708,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.65,500,15.0,200.0,30.88,44.38,24.66
709,Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,500,15.0,200.0,31.35,45.82,23.23
710,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,350,20.0,8000.0,43.75,41.41,13.8
711,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,400,20.0,8000.0,39.37,43.85,15.68
712,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,450,20.0,8000.0,36.04,46.04,16.51
713,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,500,20.0,8000.0,35.05,43.02,20.21
714,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,550,20.0,8000.0,33.54,39.74,25.47
715,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,600,20.0,8000.0,32.81,35.42,31.77
716,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,0.33,450,20.0,8000.0,33.25,44.42,21.83
717,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,0.65,450,20.0,8000.0,33.82,46.32,19.35
718,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.0,450,20.0,8000.0,36.93,47.97,16.63
719,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.5,450,20.0,8000.0,36.23,47.33,17.45
720,MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,2.0,450,20.0,8000.0,37.06,41.63,19.29
721,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,430,,600.0,34.87,44.98,19.92
722,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,450,,600.0,32.48,48.96,18.85
723,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,470,,600.0,30.09,47.46,21.52
724,S. japonica,2.79,22.99,70.9,3.22,42.09,4.38,51.6,1.53,4.0,530,,600.0,25.57,48.21,27.11
725,DOC,10.53,6.51,70.56,12.4,54.2,6.1,34.5,5.2,0.35,400,20.0,,20.61,33.41,45.49
726,DOC,12.56,5.3,71.1,11.04,57.25,5.83,32.72,4.2,0.35,400,20.0,,18.05,38.41,42.56
727,DOC,9.78,7.32,68.23,14.67,55.85,5.32,33.73,5.1,0.35,400,20.0,,21.95,33.9,43.17
728,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,300,35.0,25.0,26.3,42.12,27.95
729,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,350,35.0,25.0,26.3,45.41,25.07
730,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,400,35.0,25.0,25.68,44.59,21.99
731,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,25.0,25.48,49.11,17.67
732,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,500,35.0,25.0,24.86,44.18,24.86
733,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,600,35.0,25.0,24.04,42.12,28.97
734,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,700,35.0,25.0,24.25,39.86,30.62
735,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,800,35.0,25.0,22.6,37.19,35.14
736,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,50.0,26.15,32.1,35.16
737,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,100.0,25.1,37.89,31.76
738,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,150.0,24.94,39.0,30.89
739,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,200.0,24.79,44.43,26.41
740,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,250.0,25.17,32.92,31.84
741,Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35.0,300.0,25.38,36.73,27.36
742,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,420,10.0,30.2,11.9,59.9,10.0
743,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,460,10.0,30.2,14.0,64.2,14.9
744,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,500,10.0,30.2,18.2,66.0,15.9
745,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,540,10.0,30.2,20.8,64.9,21.1
746,corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,580,10.0,30.2,30.1,64.1,24.0
747,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,500,20.0,40.0,25.76,50.23,24.8
748,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,525,20.0,40.0,22.19,53.15,25.06
749,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,550,20.0,40.0,20.21,55.32,25.64
750,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,575,20.0,40.0,18.77,51.85,29.51
751,Karanja seed,7.27,1.5,89.23,2.0,53.04,7.32,35.53,3.94,0.5,600,20.0,40.0,19.03,50.51,31.26
